Row Labels,Count of Lumens
21-40,33
41-60,44
61-80,82
81-100,68
101-120,59
121-140,82
141-160,183
161-180,152
181-200,139
201-220,126
221-240,184
241-260,105
261-280,152
281-300,154
301-320,75
321-340,81
341-360,59
361-380,41
381-400,19
401-420,16
421-440,20
441-460,11
461-480,11
481-500,12
501-520,14
521-540,11
541-560,8
561-580,7
581-600,17
601-620,15
621-640,8
641-660,3
661-680,15
681-700,6
701-720,4
721-740,3
741-760,2
761-780,7
781-800,8
801-820,5
821-840,8
841-860,5
861-880,11
881-900,5
901-920,8
921-940,1
941-960,2
961-980,2
981-1000,3
1001-1020,2
1021-1040,2
1041-1060,3
1061-1080,1
1081-1100,2
1101-1120,3
1121-1140,1
1141-1160,3
1161-1180,2
1181-1200,3
1201-1220,2
1221-1240,4
1281-1300,3
1321-1340,2
1341-1360,1
1381-1400,1
1401-1420,5
1421-1440,4
1441-1460,6
1461-1480,4
1481-1500,6
1501-1520,2
1521-1540,5
1541-1560,3
1561-1580,5
1581-1600,3
1601-1620,2
1621-1640,2
1641-1660,2
1661-1680,5
1681-1700,6
1701-1720,5
1721-1740,1
1741-1760,8
1761-1780,7
1781-1800,7
1801-1820,6
1821-1840,4
1841-1860,9
1861-1880,7
1881-1900,6
1901-1920,4
1921-1940,4
1941-1960,5
1961-1980,7
1981-2000,8
2001-2020,12
2021-2040,14
2041-2060,8
2061-2080,6
2081-2100,7
2101-2120,7
2121-2140,12
2141-2160,8
2161-2180,12
2181-2200,9
2201-2220,14
2221-2240,10
2241-2260,15
2261-2280,17
2281-2300,16
2301-2320,13
2321-2340,14
2341-2360,13
2361-2380,17
2381-2400,16
2401-2420,13
2421-2440,9
2441-2460,17
2461-2480,19
2481-2500,19
2501-2520,14
2521-2540,26
2541-2560,11
2561-2580,15
2581-2600,16
2601-2620,13
2621-2640,22
2641-2660,16
2661-2680,22
2681-2700,15
2701-2720,13
2721-2740,12
2741-2760,14
2761-2780,12
2781-2800,13
2801-2820,8
2821-2840,10
2841-2860,8
2861-2880,7
2881-2900,11
2901-2920,10
2921-2940,11
2941-2960,4
2961-2980,3
2981-3000,8
3001-3020,10
3021-3040,12
3041-3060,5
3061-3080,8
3081-3100,13
3101-3120,8
3121-3140,3
3141-3160,7
3161-3180,2
3181-3200,10
3201-3220,1
3221-3240,9
3241-3260,8
3261-3280,7
3281-3300,5
3301-3320,6
3321-3340,5
3341-3360,4
3361-3380,4
3381-3400,11
3401-3420,10
3421-3440,10
3441-3460,7
3461-3480,7
3481-3500,7
3501-3520,8
3521-3540,9
3541-3560,12
3561-3580,6
3581-3600,11
3601-3620,9
3621-3640,12
3641-3660,10
3661-3680,12
3681-3700,15
3701-3720,15
3721-3740,8
3741-3760,16
3761-3780,8
3781-3800,13
3801-3820,12
3821-3840,14
3841-3860,10
3861-3880,9
3881-3900,14
3901-3920,18
3921-3940,13
3941-3960,19
3961-3980,14
3981-4000,7
4001-4020,9
4021-4040,9
4041-4060,8
4061-4080,5
4081-4100,10
4101-4120,10
4121-4140,10
4141-4160,6
4161-4180,6
4181-4200,9
4201-4220,5
4221-4240,5
4241-4260,8
4261-4280,5
4281-4300,11
4301-4320,2
4321-4340,14
4341-4360,9
4361-4380,14
4381-4400,9
4401-4420,13
4421-4440,11
4441-4460,6
4461-4480,13
4481-4500,8
4501-4520,14
4521-4540,9
4541-4560,5
4561-4580,9
4581-4600,7
4601-4620,16
4621-4640,9
4641-4660,5
4661-4680,7
4681-4700,10
4701-4720,10
4721-4740,10
4741-4760,6
4761-4780,10
4781-4800,5
4801-4820,11
4821-4840,1
4841-4860,11
4861-4880,7
4881-4900,5
4901-4920,4
4921-4940,5
4941-4960,3
4961-4980,5
4981-5000,8
5001-5020,8
5021-5040,17
5041-5060,13
5061-5080,7
5081-5100,6
5101-5120,10
5121-5140,5
5141-5160,7
5161-5180,9
5181-5200,10
5201-5220,3
5221-5240,5
5241-5260,3
5261-5280,5
5281-5300,3
5301-5320,4
5321-5340,2
5341-5360,2
5361-5380,6
5381-5400,4
5401-5420,3
5421-5440,5
5441-5460,4
5461-5480,2
5481-5500,2
5501-5520,1
5521-5540,3
5541-5560,6
5561-5580,5
5581-5600,3
5601-5620,3
5621-5640,3
5661-5680,1
5681-5700,1
5701-5720,2
5721-5740,1
5741-5760,2
5761-5780,1
5781-5800,4
5821-5840,3
5841-5860,4
5861-5880,2
5881-5900,2
5901-5920,2
5921-5940,2
5941-5960,2
5961-5980,1
5981-6000,1
6001-6020,4
6021-6040,2
6041-6060,4
6061-6080,1
6081-6100,4
6101-6120,5
6121-6140,4
6141-6160,4
6161-6180,3
6181-6200,4
6201-6220,2
6221-6240,4
6241-6260,8
6261-6280,3
6281-6300,3
6301-6320,1
6321-6340,2
6341-6360,2
6361-6380,4
6381-6400,3
6401-6420,5
6421-6440,6
6441-6460,7
6461-6480,3
6481-6500,4
6501-6520,2
6521-6540,2
6541-6560,3
6561-6580,6
6581-6600,8
6601-6620,2
6621-6640,1
6641-6660,4
6661-6680,3
6681-6700,1
6701-6720,1
6721-6740,2
6741-6760,4
6761-6780,4
6781-6800,3
6801-6820,4
6821-6840,3
6841-6860,4
6861-6880,3
6881-6900,3
6901-6920,1
6921-6940,2
6941-6960,5
6961-6980,1
6981-7000,1
7001-7020,1
7021-7040,2
7041-7060,3
7061-7080,4
7081-7100,4
7101-7120,4
7121-7140,3
7141-7160,2
7161-7180,3
7181-7200,1
7201-7220,4
7221-7240,4
7241-7260,4
7261-7280,3
7301-7320,2
7321-7340,3
7341-7360,5
7361-7380,6
7381-7400,4
7421-7440,2
7441-7460,1
7461-7480,4
7481-7500,6
7501-7520,2
7521-7540,1
7541-7560,7
7561-7580,6
7581-7600,1
7601-7620,1
7621-7640,4
7641-7660,1
7661-7680,2
7701-7720,6
7721-7740,3
7741-7760,4
7761-7780,1
7781-7800,1
7801-7820,2
7821-7840,3
7861-7880,2
7881-7900,2
7901-7920,3
7921-7940,2
7941-7960,1
7961-7980,2
7981-8000,3
8021-8040,1
8041-8060,2
8061-8080,3
8081-8100,2
8101-8120,2
8121-8140,3
8141-8160,1
8161-8180,1
8181-8200,2
8201-8220,3
8221-8240,1
8241-8260,3
8261-8280,3
8281-8300,3
8301-8320,3
8341-8360,1
8381-8400,4
8401-8420,4
8421-8440,5
8441-8460,5
8461-8480,2
8481-8500,3
8501-8520,1
8541-8560,3
8561-8580,1
8581-8600,3
8601-8620,1
8621-8640,2
8641-8660,3
8661-8680,1
8721-8740,1
8741-8760,1
8761-8780,2
8801-8820,2
8821-8840,2
8881-8900,2
8941-8960,1
8961-8980,3
8981-9000,4
9001-9020,2
9021-9040,1
9061-9080,1
9081-9100,2
9101-9120,1
9161-9180,1
9181-9200,1
9221-9240,1
9241-9260,1
9301-9320,1
9341-9360,1
9361-9380,1
9421-9440,1
9441-9460,1
9481-9500,2
9501-9520,1
9521-9540,2
9541-9560,1
9561-9580,1
9581-9600,1
9621-9640,1
9641-9660,1
9721-9740,1
9741-9760,1
9881-9900,1
9961-9980,1
9981-10000,1
10001-10020,1
10061-10080,1
10121-10140,2
10221-10240,3
10401-10420,1
10441-10460,1
10521-10540,1
10621-10640,1
10661-10680,1
10701-10720,1
10901-10920,1
10921-10940,2
10981-11000,1
11101-11120,1
11221-11240,1
11241-11260,1
11381-11400,2
11401-11420,1
11421-11440,1
11501-11520,1
11521-11540,2
11601-11620,1
11781-11800,1
11861-11880,1
11981-12000,2
12021-12040,1
12061-12080,1
12101-12120,3
12121-12140,1
12161-12180,4
12221-12240,2
12281-12300,2
12341-12360,1
12381-12400,3
12421-12440,1
12481-12500,1
12561-12580,2
12581-12600,1
12641-12660,1
12681-12700,1
12701-12720,1
12741-12760,1
12761-12780,1
12801-12820,1
12861-12880,1
12921-12940,1
12961-12980,1
13101-13120,1
13121-13140,1
13201-13220,1
13241-13260,1
13301-13320,1
13421-13440,3
13501-13520,2
13521-13540,1
13541-13560,3
13561-13580,1
13581-13600,1
13601-13620,1
13641-13660,1
13681-13700,1
13701-13720,1
13721-13740,1
13741-13760,1
13761-13780,1
13861-13880,2
13941-13960,2
13961-13980,1
14021-14040,2
14081-14100,1
14141-14160,1
14161-14180,1
14181-14200,1
14201-14220,1
14221-14240,2
14261-14280,1
14281-14300,3
14301-14320,1
14321-14340,2
14341-14360,1
14361-14380,1
14461-14480,2
14501-14520,1
14541-14560,2
14721-14740,1
14761-14780,1
14861-14880,2
14921-14940,1
15001-15020,1
15041-15060,1
15081-15100,1
15141-15160,1
15241-15260,1
15261-15280,1
15361-15380,1
15441-15460,1
15701-15720,1
15721-15740,2
15841-15860,1
16081-16100,1
16241-16260,1
16301-16320,1
16401-16420,1
16481-16500,1
16501-16520,1
16521-16540,3
16621-16640,1
16821-16840,1
16941-16960,1
17021-17040,1
17041-17060,1
17141-17160,1
17161-17180,1
17181-17200,1
17461-17480,1
17661-17680,2
17721-17740,2
17841-17860,1
18061-18080,1
18361-18380,1
18421-18440,1
18841-18860,1
18981-19000,1
19121-19140,1
19401-19420,1
19541-19560,1
19761-19780,1
19821-19840,1
20541-20560,1
20861-20880,1
20981-21000,1
21161-21180,1
22061-22080,1
22141-22160,1
22381-22400,1
23281-23300,1
23661-23680,1
25561-25580,1
25841-25860,1
27041-27060,1
27661-27680,1
27921-27940,1
28121-28140,1
28521-28540,1
29341-29360,1
29601-29620,1
29621-29640,1
29761-29780,1
30661-30680,1
31481-31500,1
32361-32380,1
33161-33180,1
33181-33200,1
33221-33240,1
33341-33360,1
33521-33540,1
33641-33660,1
34021-34040,1
34301-34320,1
34441-34460,1
34681-34700,1
34841-34860,1
35001-35020,2
35061-35080,1
35161-35180,1
35341-35360,1
35361-35380,1
35541-35560,1
35781-35800,2
35841-35860,1
35961-35980,1
36021-36040,1
36401-36420,1
36541-36560,1
36621-36640,1
37421-37440,1
38061-38080,1
38201-38220,1
39681-39700,1
40321-40340,1
40841-40860,1
41101-41120,1
41701-41720,1
42041-42060,1
42421-42440,1
42481-42500,1
42541-42560,1
44401-44420,1
45421-45440,1
45461-45480,1
45581-45600,1
46201-46220,1
47101-47120,1
47301-47320,1
47841-47860,1
49281-49300,1
49301-49320,1
49581-49600,2
49921-49940,1
50221-50240,1
53101-53120,1
59761-59780,1
59821-59840,1
64881-64900,1
65061-65080,1
65621-65640,1
69661-69680,1
72641-72660,1
80461-80480,1
81801-81820,1
82081-82100,1
85161-85180,1
87401-87420,1
88161-88180,1
88581-88600,1
88821-88840,1
89401-89420,1
90441-90460,1
91641-91660,1
92341-92360,1
93141-93160,1
94261-94280,1
95721-95740,1
96421-96440,1
97401-97420,1
98301-98320,1
98481-98500,1
98921-98940,1
99021-99040,1
99061-99080,1
99141-99160,1
99161-99180,1
99381-99400,1
99801-99820,1
100681-100700,1
102441-102460,1
104001-104020,1
105501-105520,1
106561-106580,1
108821-108840,1
110101-110120,1
110161-110180,1
111201-111220,1
112781-112800,1
114821-114840,1
115141-115160,1
116261-116280,1
125181-125200,1
127801-127820,1
131781-131800,1
132581-132600,1
134761-134781,1
Grand Total,4693
